evaluation_month,n_common_sample_months,Equal Weight,Minimum Variance Classical,Minimum Variance Long Only,HRP
2000-01,114,,,,
2000-02,115,0.1380935267780903,5.3933976132948995,0.7225115134256352,0.30987294048391323
2000-03,115,0.21815819687974028,6.772689593492005,1.1793239219142952,0.4377289324578528
2000-04,117,0.13907446293114464,8.956615910635794,0.42809190614647685,0.3429826982450673
2000-05,118,0.145985418690582,7.59957302759097,0.7339441039071256,0.39101555344837036
2000-06,119,0.14768193396447182,5.123358727352729,0.07050740724978535,0.31358396489548246
2000-08,114,,,,
2000-09,115,0.14811094197591806,8.243327621901566,0.4808940056711202,0.32195505800261354
2000-10,115,0.17960524916580745,6.54760336091575,0.3003125155098894,0.3307410562893329
2000-12,118,0.26510874560218894,8.283675941248967,0.8250876654771527,0.45999787365355893
2001-02,115,,,,
2001-03,116,0.19183780392022987,11.258827077287402,0.5798125298646635,0.41701343430039617
2001-04,117,0.08254729472373282,4.285552470516224,0.1800577840999805,0.2931296890669332
2001-05,118,0.11724170425166149,6.36456799102707,0.4571579758088442,0.35183895297788575
2001-06,119,0.10753133603672754,6.161585381573705,0.28043275335260387,0.26447927345523853
2001-07,114,0.11519964621194734,12.587826497083675,0.38423110961290646,0.3393119072501447
2001-08,115,0.09498676074242565,3.889623189752259,0.23043656891915978,0.2982747197685055
2001-09,116,0.1517253051729652,10.508385441681078,0.29618552065894244,0.3282184713592499
2001-10,114,0.22424104606870632,17.315294953564592,0.2862535225629891,0.3623489696987132
2001-11,114,0.14255645988139148,4.411591383049622,0.23950361787632185,0.3122573360848684
2001-12,114,0.10155003981254698,4.010009044622298,0.1462888201859571,0.27885807418549535
2002-01,115,0.1449352828498711,7.409773104415411,0.46538109670428274,0.32756516441802874
2002-02,116,0.1345644060303971,4.026822269862103,0.1404056766442493,0.2792595901287138
2002-03,117,0.1149433865432416,4.878792163877345,0.18480060516324137,0.2972764541270791
2002-04,118,0.07308548475546446,3.439421199114191,0.07639293038094347,0.3031326141046097
2002-05,119,0.12342852620535562,2.406333087002649,0.4040319906411714,0.3808725608634429
2002-06,120,0.07790233347791783,6.349546049064579,0.12154489122479793,0.2743034819437518
2002-07,120,0.11886555301321447,4.945476846656726,0.24330640129647432,0.3259451512984342
2002-08,120,0.08811762718439577,7.476116495876369,0.2834261825404714,0.2917145171128732
2002-09,120,0.06950663479823271,7.705507747533968,0.07862101238651878,0.2798264228336236
2002-10,120,0.10711023976639607,5.190789907551393,0.43978195134947173,0.3585843185565151
2002-11,120,0.16259325884499448,7.8978061101828025,0.444267962693482,0.40648694773111205
2002-12,120,0.1715330286308166,6.98174263201568,0.2300761160922685,0.38946384909541865
2003-01,114,0.15631092466007787,7.00925432774562,0.4430203315525736,0.34243014280217376
2003-02,115,0.11923105830899403,8.420736565387529,0.07323029635714925,0.33025565972294996
2003-03,116,0.07942010242722103,2.448080273588069,0.4362048240022093,0.2963963573558686
2003-04,117,0.09489074035228691,6.055940177688325,0.4373196947243932,0.27845887716353435
2003-05,118,0.088808965180322,10.801101055873232,0.27676778077045705,0.31846605060693584
2003-06,119,0.08433935301195039,4.278802279982763,0.12174001215955778,0.2555520313995986
2003-07,120,0.07711519487138764,9.840180661523291,0.09040162456623638,0.23890073621801117
2003-08,120,0.10978864068295746,7.830445846952062,0.492743532639477,0.34747355093454124
2003-09,120,0.06552470402977806,2.911854756809961,0.08570841057281126,0.26870242425695057
2003-10,120,0.06290442692228669,2.833466080396612,0.1390778293086612,0.2773460589375296
2003-11,120,0.09093783992150034,6.503615758883133,0.19125153534584688,0.30360295723483166
2003-12,120,0.0708559496922933,3.417947226180371,0.13595252031858798,0.2633347712912907
2004-01,115,0.12086383516695681,6.829379080723659,0.1853854813423876,0.3592960203101524
2004-02,116,0.07870423502391971,5.029536110346695,0.03588256973833177,0.2321136024762669
2004-03,117,0.07294570325622127,6.215307440991843,0.0798579263999128,0.29582558598331166
2004-05,119,,,,
2004-06,120,0.09034621139544251,3.4458492987397182,0.062092749585614976,0.30314064304986893
2004-08,120,,,,
2004-09,120,0.10961584044376244,7.275420340649692,0.10829768013296179,0.2794108353349193
2004-10,117,0.09712810945155104,6.628569965189094,0.11162468117230631,0.3198733352222964
2004-11,116,0.11124773648984562,6.309152450926453,0.13806150779651843,0.2914733545967723
2004-12,120,0.13120644318469127,6.291772813858719,0.30307617591008895,0.409723549291684
2005-01,120,0.04947679688012874,3.6606060711400334,0.028536564577617433,0.3014516231903563
2005-02,120,0.0791799056877498,3.2326103526857155,0.11144198465919966,0.28890035121351765
2005-03,120,0.07506817545353525,7.9533945650187015,0.2942159807392696,0.3014456179334519
2005-04,120,0.1101078378572482,6.100277076051249,0.2296736109326374,0.3452174263161518
2005-05,120,0.0830585273261437,2.7221810040465817,0.04734426673443136,0.2623664514130557
2005-06,120,0.09751038267486371,4.561273578356855,0.07673586994749407,0.2821787398733574
2005-07,120,0.07540928078784398,3.7595547548406087,0.030551776099823538,0.23967783153979472
2005-08,115,0.11529801621752646,8.356970028946405,0.21756018400872698,0.306819268886966
2005-09,120,0.11187327538674904,3.87168157688474,0.18819161002478024,0.28246111462838913
2005-11,114,,,,
2005-12,114,0.1081037102891145,15.140328151833586,0.09674664387917516,0.41632912926298077
2006-02,116,,,,
