evaluation_month,n_common_sample_months,model,permno,weight
2015-05,120,Equal Weight,14593,0.01
2015-05,120,Equal Weight,10107,0.01
2015-05,120,Equal Weight,11850,0.01
2015-05,120,Equal Weight,38703,0.01
2015-05,120,Equal Weight,22111,0.01
2015-05,120,Equal Weight,12060,0.01
2015-05,120,Equal Weight,55976,0.01
2015-05,120,Equal Weight,47896,0.01
2015-05,120,Equal Weight,18163,0.01
2015-05,120,Equal Weight,14541,0.01
2015-05,120,Equal Weight,21936,0.01
2015-05,120,Equal Weight,65875,0.01
2015-05,120,Equal Weight,10104,0.01
2015-05,120,Equal Weight,84788,0.01
2015-05,120,Equal Weight,26403,0.01
2015-05,120,Equal Weight,66093,0.01
2015-05,120,Equal Weight,11308,0.01
2015-05,120,Equal Weight,17778,0.01
2015-05,120,Equal Weight,83443,0.01
2015-05,120,Equal Weight,12490,0.01
2015-05,120,Equal Weight,22752,0.01
2015-05,120,Equal Weight,59408,0.01
2015-05,120,Equal Weight,70519,0.01
2015-05,120,Equal Weight,90319,0.01
2015-05,120,Equal Weight,59328,0.01
2015-05,120,Equal Weight,77274,0.01
2015-05,120,Equal Weight,76076,0.01
2015-05,120,Equal Weight,13856,0.01
2015-05,120,Equal Weight,66181,0.01
2015-05,120,Equal Weight,89525,0.01
2015-05,120,Equal Weight,14008,0.01
2015-05,120,Equal Weight,17005,0.01
2015-05,120,Equal Weight,77178,0.01
2015-05,120,Equal Weight,19393,0.01
2015-05,120,Equal Weight,92655,0.01
2015-05,120,Equal Weight,17830,0.01
2015-05,120,Equal Weight,22592,0.01
2015-05,120,Equal Weight,19561,0.01
2015-05,120,Equal Weight,13901,0.01
2015-05,120,Equal Weight,48725,0.01
2015-05,120,Equal Weight,43449,0.01
2015-05,120,Equal Weight,19502,0.01
2015-05,120,Equal Weight,86868,0.01
2015-05,120,Equal Weight,76841,0.01
2015-05,120,Equal Weight,11552,0.01
2015-05,120,Equal Weight,13928,0.01
2015-05,120,Equal Weight,50876,0.01
2015-05,120,Equal Weight,10145,0.01
2015-05,120,Equal Weight,59176,0.01
2015-05,120,Equal Weight,66157,0.01
2015-05,120,Equal Weight,66800,0.01
2015-05,120,Equal Weight,77702,0.01
2015-05,120,Equal Weight,69032,0.01
2015-05,120,Equal Weight,86356,0.01
2015-05,120,Equal Weight,87447,0.01
2015-05,120,Equal Weight,20482,0.01
2015-05,120,Equal Weight,77418,0.01
2015-05,120,Equal Weight,57665,0.01
2015-05,120,Equal Weight,11703,0.01
2015-05,120,Equal Weight,61399,0.01
2015-05,120,Equal Weight,86783,0.01
2015-05,120,Equal Weight,77668,0.01
2015-05,120,Equal Weight,87055,0.01
2015-05,120,Equal Weight,89006,0.01
2015-05,120,Equal Weight,25785,0.01
2015-05,120,Equal Weight,34833,0.01
2015-05,120,Equal Weight,18729,0.01
2015-05,120,Equal Weight,87267,0.01
2015-05,120,Equal Weight,27828,0.01
2015-05,120,Equal Weight,21178,0.01
2015-05,120,Equal Weight,20626,0.01
2015-05,120,Equal Weight,49680,0.01
2015-05,120,Equal Weight,87842,0.01
2015-05,120,Equal Weight,15579,0.01
2015-05,120,Equal Weight,27959,0.01
2015-05,120,Equal Weight,75825,0.01
2015-05,120,Equal Weight,88668,0.01
2015-05,120,Equal Weight,18542,0.01
2015-05,120,Equal Weight,10147,0.01
2015-05,120,Equal Weight,81061,0.01
2015-05,120,Equal Weight,49154,0.01
2015-05,120,Equal Weight,62092,0.01
2015-05,120,Equal Weight,70332,0.01
2015-05,120,Equal Weight,60628,0.01
2015-05,120,Equal Weight,90215,0.01
2015-05,120,Equal Weight,60442,0.01
2015-05,120,Equal Weight,49656,0.01
2015-05,120,Equal Weight,76614,0.01
2015-05,120,Equal Weight,89954,0.01
2015-05,120,Equal Weight,12052,0.01
2015-05,120,Equal Weight,24205,0.01
2015-05,120,Equal Weight,81055,0.01
2015-05,120,Equal Weight,40539,0.01
2015-05,120,Equal Weight,90441,0.01
2015-05,120,Equal Weight,90505,0.01
2015-05,120,Equal Weight,64936,0.01
2015-05,120,Equal Weight,23819,0.01
2015-05,120,Equal Weight,22103,0.01
2015-05,120,Equal Weight,18411,0.01
2015-05,120,Equal Weight,75186,0.01
2015-05,120,HRP,18411,0.05223769728625008
2015-05,120,HRP,55976,0.036220746728248675
2015-05,120,HRP,22111,0.03532647043199203
2015-05,120,HRP,27959,0.02834046908428582
2015-05,120,HRP,24205,0.028025233867549484
2015-05,120,HRP,87055,0.024885361156445754
2015-05,120,HRP,20482,0.02250970476578722
2015-05,120,HRP,19393,0.021674602133513323
2015-05,120,HRP,64936,0.021069807033031435
2015-05,120,HRP,13901,0.020818530830173695
2015-05,120,HRP,66093,0.020032291522171907
2015-05,120,HRP,65875,0.019551879492252802
2015-05,120,HRP,18163,0.019046733395154496
2015-05,120,HRP,11850,0.017671989130729426
2015-05,120,HRP,18729,0.01733045730887644
2015-05,120,HRP,13856,0.016692875600966266
2015-05,120,HRP,21936,0.016411230710426477
2015-05,120,HRP,89006,0.016045967635542877
2015-05,120,HRP,43449,0.015555665635314004
2015-05,120,HRP,57665,0.015485532371554799
2015-05,120,HRP,11308,0.014286359380485883
2015-05,120,HRP,14008,0.014276673785838292
2015-05,120,HRP,17778,0.014092860807272017
2015-05,120,HRP,77274,0.01371254835474948
2015-05,120,HRP,40539,0.013680013283023838
2015-05,120,HRP,83443,0.01331024696798249
2015-05,120,HRP,21178,0.01319047857340129
2015-05,120,HRP,50876,0.01310703018952771
2015-05,120,HRP,22752,0.012480545402976963
2015-05,120,HRP,14541,0.012185738916525172
2015-05,120,HRP,12490,0.011954045524464071
2015-05,120,HRP,11552,0.011698895160360205
2015-05,120,HRP,62092,0.011680834125836419
2015-05,120,HRP,22592,0.010938082215524184
2015-05,120,HRP,76841,0.010885067188678866
2015-05,120,HRP,81061,0.010586080999866963
2015-05,120,HRP,89954,0.010232047736926429
2015-05,120,HRP,17005,0.009887882186359583
2015-05,120,HRP,66181,0.009594962654399868
