evaluation_month,universe_month,n_universe_assets,n_eligible_assets,n_common_sample_months,condition_number
2009-04,2009-03,4244,100,115,82631.35227599807
2009-05,2009-04,4213,100,114,102077.93386060043
2009-06,2009-05,4192,100,114,117227.16890229976
2009-07,2009-06,4162,100,115,84270.13706524846
2009-08,2009-07,4145,100,116,75287.17413110385
2009-09,2009-08,4126,100,117,102855.25637404287
2009-10,2009-09,4120,100,118,93629.13351815118
2009-11,2009-10,4110,100,114,121233.19181646501
2009-12,2009-11,4094,100,115,84598.72758147628
2010-01,2009-12,4079,100,116,87963.001395888
2010-02,2010-01,4067,100,117,95500.10152194263
2010-03,2010-02,4054,100,118,87142.30190139858
2010-04,2010-03,4043,100,119,82202.15429696541
2010-05,2010-04,4033,100,114,119448.31303582183
2010-06,2010-05,4032,100,115,110251.49707994884
2010-07,2010-06,4033,100,116,94306.09711663552
2010-08,2010-07,4007,100,117,91588.27968338238
2010-09,2010-08,4002,100,118,89276.3127840559
2010-10,2010-09,3990,100,119,85368.15494936937
2010-11,2010-10,3974,100,120,80206.27138941805
2010-12,2010-11,3961,100,120,93237.98510216991
2011-01,2010-12,3942,100,114,166251.1155789617
2011-02,2011-01,3929,100,115,128077.75029275563
2011-03,2011-02,3928,100,116,121051.08645261016
2011-04,2011-03,3912,100,117,104710.43430282241
2011-05,2011-04,3887,100,114,102327.93954268338
2011-06,2011-05,3877,100,115,108575.65873182096
2011-07,2011-06,3848,100,114,103574.07109419226
2011-08,2011-07,3843,100,115,97130.15946722944
2011-09,2011-08,3837,100,120,81820.26276724794
2011-10,2011-09,3829,100,117,87733.75336139393
2011-11,2011-10,3815,100,118,87024.60633596622
2011-12,2011-11,3798,100,120,91492.65976632322
2012-01,2011-12,3783,100,120,88002.81075496537
2012-02,2012-01,3766,100,120,95478.70866759602
2012-03,2012-02,3764,100,120,145885.6238676039
2012-04,2012-03,3764,100,120,125484.48627602143
2012-05,2012-04,3758,100,120,144556.84252146026
2012-06,2012-05,3753,100,114,151765.11495573408
2012-07,2012-06,3737,100,115,163337.56976558446
2012-08,2012-07,3728,100,116,135749.96107808282
2012-09,2012-08,3714,100,117,117448.84207505881
2012-10,2012-09,3696,100,118,90048.92995027102
2012-11,2012-10,3690,100,119,88904.27994916037
2012-12,2012-11,3679,100,120,112575.87354881017
2013-01,2012-12,3656,100,120,109028.97755359476
2013-02,2013-01,3650,100,120,105334.04023388443
2013-03,2013-02,3645,100,120,108328.37734425205
2013-04,2013-03,3636,100,120,114738.70844866466
2013-05,2013-04,3630,100,120,102357.4981482402
2013-06,2013-05,3638,100,120,128817.38265110244
