evaluation_date,n_common_sample_months,Equal Weight,Minimum Variance Classical,Minimum Variance Long Only,HRP
2000-01-01,114,,,,
2000-02-01,115,,,,
2000-03-01,115,,,,
2000-04-01,117,,,,
2000-05-01,118,,,,
2000-06-01,119,,,,
2000-08-01,114,,,,
2000-09-01,115,,,,
2000-10-01,115,,,,
2000-12-01,118,,,,
2001-02-01,115,,,,
2001-03-01,116,,,,
2001-04-01,117,,,,
2001-05-01,118,,,,
2001-06-01,119,,,,
2001-07-01,114,,,,
2001-08-01,115,,,,
2001-09-01,116,,,,
2001-10-01,114,,,,
2001-11-01,114,,,,
2001-12-01,114,,,,
2002-01-01,115,,,,
2002-02-01,116,,,,
2002-03-01,117,-0.17915616075850604,0.05238514017460881,0.7193562594322576,0.09601780685146562
2002-04-01,118,-0.26421126289062763,0.05895206555726811,0.6519461139424794,0.007726519249911824
2002-05-01,119,-0.16240408760180602,-0.015344443898783637,0.9630946146025741,0.28027768239977435
2002-06-01,120,-0.7037214592689897,0.26778373607646766,0.5407621109675437,-0.3550285664376258
2002-07-01,120,-0.8373119679510451,-0.13568716269596473,0.2881688614165179,-0.5717011533747247
2002-08-01,120,-0.7856555303019357,0.20480668118061177,0.26569948513752295,-0.5516356585317322
2002-09-01,120,-1.0325149935356528,0.08537172241875245,-0.03943855142245166,-0.7988510160346055
2002-10-01,120,-0.9514364902454321,0.19905881135553755,-0.3141699078331024,-0.7460121004358553
2002-11-01,120,-0.7408822026866071,0.1236881692200428,-0.4944926217373731,-0.6911696486603935
2002-12-01,120,-0.8914434253691336,0.06264291292708529,-0.5922840670016595,-0.9084029752931398
2003-01-01,114,-1.0339690672918804,0.1396751786341241,-0.8128014027871707,-1.0844861870796862
2003-02-01,115,-0.9341037158146691,0.4435732155887959,-0.7336192715965641,-1.0660861290807089
2003-03-01,116,-0.8219396728307822,0.3716198085083983,-0.698277519682424,-0.9411301465899112
2003-04-01,117,-0.7212979405439206,0.4702465659883681,-0.8322730892551018,-0.8263648818082848
2003-05-01,118,-0.5992689466615005,0.29981242091764293,-0.6658391663037543,-0.6891178837545632
2003-06-01,119,-0.47795130020556126,0.3070217476035866,-0.4359974700117425,-0.5221033074852263
2003-07-01,120,-0.4504761159724602,0.019202198801888837,-0.6034394243011922,-0.5648897134928386
2003-08-01,120,-0.24547655794607037,0.19967679525813495,-0.34244256893887554,-0.3739202838005881
2003-09-01,120,-0.0738086901603397,0.12505321377794956,-0.22195225201781707,-0.22592217769041104
2003-10-01,120,0.10133336777649833,0.2743709943799403,-0.05442049405426317,-0.034660624557664575
2003-11-01,120,-0.11444648136660755,0.43770705649247327,-0.16398063522583536,-0.20579969261425
2003-12-01,120,0.04294040227982759,0.5026853232610647,0.0029590253102508004,-0.030883895083684387
2004-01-01,115,0.09292145295513982,0.1972491996840101,0.15448908256945493,0.03266164660049597
2004-02-01,116,0.18400306036602732,0.3211659787713283,0.1370484449300203,0.08377622654619801
2004-03-01,117,0.023159720273428216,0.09453694213847061,-0.11864499991637147,-0.08516976666657318
2004-05-01,119,0.2230367985715559,0.12131138454184535,0.0968443522938952,0.07753288251513384
2004-06-01,120,0.2814625470479421,0.3770577191974089,0.2203846753952694,0.13994507629401529
2004-08-01,120,0.5549107741742082,0.4856817136362159,0.5271989127523361,0.41781761096190523
2004-09-01,120,0.8711100182319649,1.024378052838109,0.86961457219796,0.7241240664147539
2004-10-01,117,0.8719211328355194,1.110659917975411,0.8108147487031511,0.7105987524535227
2004-11-01,116,1.7882485847561382,1.675146086172295,1.8134872124334922,1.744952552963996
2004-12-01,120,1.6905543844763882,1.2816882022047793,1.724069160283344,1.6816023247938345
2005-01-01,120,1.3113321341518378,1.2173164796271245,1.8150900284130707,1.4160152420753405
2005-02-01,120,1.9353611992427697,1.269912336106452,2.134484234075515,1.9482712717792934
2005-03-01,120,2.0861595045482564,1.1877568878083011,2.294697940449729,2.2051755071051504
2005-04-01,120,2.140491303032131,1.047942993962921,2.4119357269061465,2.3562112420473422
2005-05-01,120,2.311417982809307,1.0787284611721595,2.5127167087553275,2.4917026839833
2005-06-01,120,2.0821532060846164,0.8067531579541825,2.261517811084571,2.222369333886931
2005-07-01,120,2.068413275505765,0.9827891996410546,2.257313908903541,2.2103422513797577
2005-08-01,115,1.8359844962736165,1.1904487518586726,2.161674582520568,2.003309730622652
