evaluation_date,n_common_sample_months,Equal Weight,Minimum Variance Classical,Minimum Variance Long Only,HRP
2000-01-01,114,,,,
2000-02-01,115,,,,
2000-03-01,115,,,,
2000-04-01,117,,,,
2000-05-01,118,,,,
2000-06-01,119,,,,
2000-08-01,114,,,,
2000-09-01,115,,,,
2000-10-01,115,,,,
2000-12-01,118,,,,
2001-02-01,115,,,,
2001-03-01,116,0.16529327592744808,0.3103799869318035,0.15658915657981481,0.15225473844056758
2001-04-01,117,0.17120948073217673,0.3133379039790063,0.15764362578085633,0.1539260660938166
2001-05-01,118,0.16447397747446918,0.3092141945861106,0.11993599336877048,0.1277937889014813
2001-06-01,119,0.1330034738014397,0.24314216663964994,0.13476490828078658,0.10169766540506622
2001-07-01,114,0.1328467196055697,0.2682765060625099,0.13504648440188302,0.10189023305088056
2001-08-01,115,0.14552435816379558,0.23772638866317117,0.14499186850192258,0.11217660934230402
2001-09-01,116,0.1625252474307457,0.23349043000972403,0.15779454582969438,0.12830438075195744
2001-10-01,114,0.14430745739387985,0.22300136575384671,0.121171448333231,0.11611321093018749
2001-11-01,114,0.1794998828963327,0.23260882402524444,0.12117426637316185,0.13650026643504404
2001-12-01,114,0.17876561862717877,0.22941059689383037,0.12093363035329065,0.13187833465238952
2002-01-01,115,0.17452913081565277,0.23987173724426072,0.12111677568600897,0.12786917784334534
2002-02-01,116,0.16208072752427424,0.2050139030129361,0.12113232194936224,0.12642646961073564
2002-03-01,117,0.1624938167072832,0.2127559238979455,0.12682629757136213,0.12736671523464071
2002-04-01,118,0.16041160361147694,0.2121705633480761,0.11770116804043115,0.12651447188794882
2002-05-01,119,0.1594345901025725,0.25119535023751594,0.11625398223272283,0.12491783483457172
2002-06-01,120,0.16919496287056282,0.2603454623098079,0.1103904954158923,0.13132865344645733
2002-07-01,120,0.1753494747499896,0.26573053684324427,0.11037107576470788,0.13840071935742856
2002-08-01,120,0.1706657699657666,0.27719338321539866,0.111241219174351,0.13649098533140824
2002-09-01,120,0.18301291731685895,0.28068664560937445,0.12274507612277251,0.15709238799073558
2002-10-01,120,0.2063493069553942,0.3318061549683114,0.12855915582577,0.17341598284495102
2002-11-01,120,0.18900153332620417,0.327802399387713,0.12195391906954904,0.15908239680495828
2002-12-01,120,0.19397189205798557,0.3252851370835708,0.11962912910362837,0.15978164433480568
2003-01-01,114,0.19414835720538953,0.3084166749211754,0.11902136308554523,0.16043357991147472
2003-02-01,115,0.19409588588885154,0.30874144784441865,0.11056783982554332,0.15863698013385027
2003-03-01,116,0.18531391494767196,0.29367789578496434,0.09971456196518944,0.14895751252554756
2003-04-01,117,0.20871506300526102,0.3084519014135608,0.10837227987642742,0.17070084448744832
2003-05-01,118,0.2183830155611173,0.2864983707706491,0.12399392661156605,0.18235929203184753
2003-06-01,119,0.20773384271822218,0.2776102889993692,0.12000633002163151,0.17467537762564142
2003-07-01,120,0.19501983116863159,0.22515116817190572,0.11127198707428208,0.16320305023561804
2003-08-01,120,0.19548137777688868,0.22528964617182495,0.11228862839828184,0.1641300508192018
2003-09-01,120,0.15400202524528153,0.20230206527796726,0.08383757649114681,0.12053864362926502
2003-10-01,120,0.14880195897622622,0.17199408267642394,0.0859645464739278,0.11517927621313628
2003-11-01,120,0.1435263903663499,0.1715052548076572,0.08342437144770477,0.11439161751707377
2003-12-01,120,0.12632320645943362,0.17725691696943272,0.09036725197511707,0.11154835544357473
2004-01-01,115,0.11364449789049245,0.18606572346985378,0.08031783105453821,0.09943370783405206
2004-02-01,116,0.10360774430884898,0.1863386887659244,0.07577571335824196,0.0880303637052481
2004-03-01,117,0.11023911610537775,0.18803982809539452,0.08366595780492043,0.09349332415858734
2004-05-01,119,0.09206574129339888,0.16941235201056687,0.08213191892511183,0.08178230997959295
2004-06-01,120,0.08471450880031643,0.16285475500680704,0.07248979924095987,0.07289647216235326
2004-08-01,120,0.08577899656157237,0.16435375762446833,0.07317552918258687,0.07310976617351059
2004-09-01,120,0.08613612486466611,0.16029152097395505,0.06982162346301514,0.07198962439042064
2004-10-01,117,0.08617358238755603,0.18291078144565162,0.06853934125379285,0.07228428151266988
2004-11-01,116,0.0807469424534064,0.19429205965366644,0.06274974183915916,0.06903069267882175
2004-12-01,120,0.06328304709551608,0.16743769254528773,0.05893155891674496,0.06466838159693855
2005-01-01,120,0.07383792868347808,0.1679714456146899,0.06175221973354931,0.0718584687214452
