Model,Average Monthly Turnover,Total Turnover,Turnover Months
Equal Weight,0.10176257274371395,24.423017458491348,240
Minimum Variance Classical,6.508525880093521,1562.0462112224452,240
Minimum Variance Long Only,0.274490957576853,65.87782981844472,240
HRP,0.30249650982964205,72.59916235911409,240
