Model,Modelnavn,Første evalueringsmåned,Sidste evalueringsmåned,Lookback-måneder,Top N-univers,Kovariansestimering,Gennemsnitligt antal market cap-kandidater,Gennemsnitligt antal aktiver i porteføljen,T_common minimum,T_common median,T_common gennemsnit,T_common maksimum,Andel måneder med fuldt tilbagebliksvindue,Konditionstal minimum,Måned for laveste konditionstal,Konditionstal gennemsnit,Konditionstal median,Konditionstal maksimum,Måned for højeste konditionstal,Antal brugte måneder,Kumulativt afkast,Annualiseret afkast,Annualiseret volatilitet,Sharpe-ratio,HRP minus modellen: annualiseret afkast,HRP minus modellen: annualiseret volatilitet,HRP minus modellen: Sharpe-ratio,HRP minus modellen: kumulativt afkast,Månedligt gennemsnitsafkast,Månedligt medianafkast,Månedlig standardafvigelse,Månedligt minimumsafkast,Måned for minimumsafkast,Månedligt maksimumsafkast,Måned for maksimumsafkast,Andel positive måneder,Maksimalt drawdown,Måned for maksimalt drawdown,Rullende 12-måneders Sharpe gennemsnit,Rullende 12-måneders Sharpe minimum,Måned for laveste rullende 12-måneders Sharpe,Rullende 12-måneders Sharpe maksimum,Måned for højeste rullende 12-måneders Sharpe,Rullende 12-måneders volatilitet gennemsnit,Rullende 12-måneders volatilitet minimum,Måned for laveste rullende 12-måneders volatilitet,Rullende 12-måneders volatilitet maksimum,Måned for højeste rullende 12-måneders volatilitet,Gennemsnitlig månedlig omsætning,Median månedlig omsætning,Minimum månedlig omsætning,Måned for minimum omsætning,Maksimum månedlig omsætning,Måned for maksimum omsætning,Samlet omsætning,Gennemsnitlig SSPW,Median SSPW,Minimum SSPW,Måned for minimum SSPW,Maksimum SSPW,Måned for maksimum SSPW,SSPW-måneder,Mulige måneder for klassisk minimumsvarians,Mulige måneder for minimumsvarians uden korte positioner
Equal Weight,Ligevægt,2000-01,2021-12,120,100,komplette observationer,4316.361111111111,100.0,114.0,119.0,117.89682539682539,120.0,0.4642857142857143,5524.018367112156,2002-12,92289.6988264267,87963.001395888,353250.01898232015,2017-12,252,4.674773501821751,0.08618127365999428,0.1468250071538609,0.5869659081281923,0.0034405470995602094,-0.02381892470726414,0.14163075129687241,0.3896794134863626,0.007814856924052501,0.010376855,0.042384728702025164,-0.15086259,2008-10,0.12959681,2020-11,0.6468253968253969,-0.46630052400023203,2009-02,1.0900316595370028,-1.8886024383868372,2008-11,5.021621219516831,2017-12,0.13488957426991452,0.04079872013783354,2017-12,0.29444306755573396,2009-09,0.10176257274371395,0.09305048353083532,0.03986423666935929,2015-11,0.26510874560218894,2000-12,24.423017458491348,0.0,0.0,0.0,2000-01,0.0,2000-01,252,,
Minimum Variance Classical,Klassisk minimumsvarians,2000-01,2021-12,120,100,komplette observationer,4316.361111111111,100.0,114.0,119.0,117.89682539682539,120.0,0.4642857142857143,5524.018367112156,2002-12,92289.6988264267,87963.001395888,353250.01898232015,2017-12,252,4.356442140659492,0.08319937526521781,0.23278110547730851,0.3574146410836084,0.0064224454943366815,-0.10977502303071175,0.3711820183414563,0.7080107746486215,0.008997336946698558,0.014129686439805254,0.06719811695479137,-0.2835614426113953,2009-04,0.20346965759090418,2018-11,0.5793650793650794,-0.5967515318463286,2009-04,0.7538264636844307,-1.384076727456366,2020-12,4.566778777928203,2007-04,0.21810783074949278,0.09561352813658341,2015-12,0.40691047844585115,2009-04,6.508525880093521,6.183514122659739,1.3625361140041923,2016-06,18.142949094845992,2011-11,1562.0462112224452,3.1084098076864723,2.443459588362023,0.6524368460246648,2002-06,16.831290395797286,2018-02,252,252.0,
Minimum Variance Long Only,Minimumsvarians uden korte positioner,2000-01,2021-12,120,100,komplette observationer,4316.361111111111,100.0,114.0,119.0,117.89682539682539,120.0,0.4642857142857143,5524.018367112156,2002-12,92289.6988264267,87963.001395888,353250.01898232015,2017-12,252,5.637668665796291,0.0943181404657023,0.11014992614169908,0.8562705738392375,-0.004696319706147811,0.012856156304897684,-0.12767391441417286,-0.5732157504881767,0.008045557270103351,0.010923405275789323,0.03179754475456368,-0.09614678761699948,2020-03,0.1018595890221346,2000-08,0.6587301587301587,-0.2243259298234357,2003-02,1.134668744331131,-1.8734849588490905,2003-03,4.331986825505821,2012-07,0.10305036714049783,0.05132284994565211,2005-02,0.20855325548026715,2020-11,0.274490957576853,0.20148491815128736,0.006588083310391695,2017-04,1.1793239219142952,2000-03,65.87782981844472,0.09950231788818542,0.0974868092676609,0.048794181581622235,2007-08,0.16574956591681803,2011-11,252,,252.0
HRP,HRP,2000-01,2021-12,120,100,komplette observationer,4316.361111111111,100.0,114.0,119.0,117.89682539682539,120.0,0.4642857142857143,5524.018367112156,2002-12,92289.6988264267,87963.001395888,353250.01898232015,2017-12,252,5.064452915308114,0.0896218207595545,0.12300608244659676,0.7285966594250647,0.0,0.0,0.0,0.0,0.007811857487728393,0.010677788759179688,0.03550879740625197,-0.12562561817159185,2008-10,0.10635256282574554,2020-11,0.6587301587301587,-0.3925431741636628,2009-02,1.185110998397372,-1.8144266915593235,2009-02,4.306323339215844,2010-02,0.11249912545497823,0.04137569009510391,2006-11,0.23642778062430267,2009-09,0.30249650982964205,0.29970682921755976,0.09566242084314996,2017-04,0.45999787365355893,2000-12,72.59916235911409,0.00577850854025916,0.005528893101427805,0.0036040056737221063,2005-07,0.009681119470701494,2011-11,252,,
