evaluation_month,n_common_sample_months,Equal Weight,Minimum Variance Classical,Minimum Variance Long Only,HRP
2000-01,114,0.0,2.033515962237891,0.07390418165953637,0.006233466016938617
2000-02,115,0.0,1.8916910386075916,0.10074429103959485,0.006989037834145421
2000-03,115,0.0,1.8885103907185234,0.08557392724394226,0.004938533578934675
2000-04,117,0.0,2.7534264086260083,0.09833171061199636,0.0055413258925430175
2000-05,118,0.0,1.2779590633728815,0.10826650230110867,0.007225316486846129
2000-06,119,0.0,1.3502394821854227,0.1077263653093821,0.00596173217747743
2000-08,114,0.0,1.281934446381264,0.1004578718309195,0.004816541135339145
2000-09,115,0.0,2.298827076976642,0.08768326510439055,0.005006690627742476
2000-10,115,0.0,1.4195460340539385,0.08710687225607236,0.006189661028552361
2000-12,118,0.0,1.5195107901376879,0.05629501105381602,0.004275173561422327
2001-02,115,0.0,1.9783791776578945,0.08110478000057467,0.0055392456190960695
2001-03,116,0.0,1.0007280843820439,0.058705588766267,0.00679694846198952
2001-04,117,0.0,1.1314969716111545,0.05836960820289711,0.004800311889293466
2001-05,118,0.0,1.6293334317523076,0.07482839443805535,0.004574334545818676
2001-06,119,0.0,0.8138302204940008,0.0715449422179201,0.0043309077961925365
2001-07,114,0.0,2.9284911333094783,0.07070315288531234,0.003727414379389881
2001-08,115,0.0,1.9667536327281911,0.08253407101484134,0.0041116213388055056
2001-09,116,0.0,4.771166265885955,0.08583517811326527,0.0041685598567098685
2001-10,114,0.0,1.483245823421415,0.0815626464006597,0.0046850862921300005
2001-11,114,0.0,0.9186687777847018,0.08792908422997436,0.004244552383799916
2001-12,114,0.0,1.0682811566165484,0.08851790944381709,0.004115875555888801
2002-01,115,0.0,1.3259487717570158,0.08635931459183979,0.0049294599277011075
2002-02,116,0.0,1.3154590057552598,0.0850777566848537,0.00403774974649779
2002-03,117,0.0,0.7814545925190238,0.08809447967982824,0.005373560477476098
2002-04,118,0.0,0.9703887264569202,0.08739277948863622,0.005224279408243553
2002-05,119,0.0,1.190334916964891,0.07090742037342455,0.00440489842055718
2002-06,120,0.0,0.6524368460246648,0.0736864898042504,0.004220811011992901
2002-07,120,0.0,0.7957106207323209,0.07112178807970904,0.0036333767376668658
2002-08,120,0.0,1.2833369877518692,0.08612507629365404,0.004480783557929681
2002-09,120,0.0,0.9370272381202537,0.08518601132333305,0.004200073319906192
2002-10,120,0.0,1.1919712085020417,0.09103997072877065,0.004229405243113051
2002-11,120,0.0,2.03467311869707,0.09472901634812636,0.004102081596567391
2002-12,120,0.0,1.286365190315371,0.093147570314273,0.004754755648246772
2003-01,114,0.0,1.8988260277751694,0.0879822817735585,0.004852939044926715
2003-02,115,0.0,1.3052426088348945,0.09342579642087795,0.003901962953882965
2003-03,116,0.0,1.115556669589981,0.09368869863981887,0.003949560543520635
2003-04,117,0.0,1.5982604017126127,0.0940775841223702,0.004770120979341746
2003-05,118,0.0,2.4032805237049404,0.10539540125755026,0.0051824442489577125
2003-06,119,0.0,1.810489977620499,0.10567497259861545,0.004655519566963914
2003-07,120,0.0,1.2029401270155509,0.10496613196286914,0.005718279407727002
2003-08,120,0.0,0.9271320191689594,0.10951705455274144,0.006317679779527682
2003-09,120,0.0,1.0131713651235559,0.10887121513757463,0.005642172343147226
2003-10,120,0.0,1.0413148750110806,0.10426207517575713,0.004721052312939319
2003-11,120,0.0,1.7807044405876247,0.10168349621971819,0.0048161769196126475
2003-12,120,0.0,2.222648981478701,0.10058649391088172,0.005307829916045147
2004-01,115,0.0,1.7547174780246597,0.09853045743766198,0.004270712406845528
2004-02,116,0.0,1.1800461554186958,0.09746837448963934,0.004779718867335414
2004-03,117,0.0,0.8503494822332169,0.10148773052819864,0.004822922011064503
2004-05,119,0.0,1.0356274743741125,0.09119871194533263,0.004214364949208967
2004-06,120,0.0,1.256631780291053,0.09551679872702197,0.004448700902127203
2004-08,120,0.0,1.146811007406882,0.09494348000973221,0.005234285452916386
2004-09,120,0.0,1.8669978263899394,0.0904859883342276,0.004711840136212292
2004-10,117,0.0,1.766673772289536,0.09043338346404295,0.004813263704450018
2004-11,116,0.0,1.3218600809293133,0.08912660931550515,0.005031722162976434
2004-12,120,0.0,1.0988252885503276,0.08987728086549018,0.004518213393774661
2005-01,120,0.0,1.2271139232884656,0.09049172426895276,0.004173803692412616
2005-02,120,0.0,1.283104272897084,0.08451332476860582,0.006171463170246058
2005-03,120,0.0,1.4793651432892039,0.07867614198681121,0.004644910919244422
2005-04,120,0.0,2.067538477983098,0.08259676410693036,0.004850631507439705
2005-05,120,0.0,2.4565573967982486,0.08271515769499858,0.00460026243870981
2005-06,120,0.0,2.4484252504282535,0.08162319753197556,0.0050073407792473115
2005-07,120,0.0,2.724947896020447,0.08085977233086006,0.0036040056737221063
2005-08,115,0.0,1.7489027867704419,0.09069464335651796,0.0049673897431714315
2005-09,120,0.0,1.7854267405051103,0.08581256549154571,0.005212840306066859
2005-11,114,0.0,2.3651724674869565,0.08803618412386097,0.005522124615564864
2005-12,114,0.0,7.972789947744889,0.09106342904010975,0.005739681719161175
2006-02,116,0.0,5.823385478779471,0.09304317694856573,0.006332489219886638
2006-03,118,0.0,1.4592863246413614,0.08456002527196743,0.0059862534831327556
2006-05,119,0.0,3.9659043321101755,0.06663559217237167,0.003706961509673656
2006-06,120,0.0,1.8291657365573597,0.06283461388330085,0.004999505863405323
2006-07,120,0.0,3.2003446184821005,0.060185150910320374,0.004656897578711903
2006-08,120,0.0,4.114576712925191,0.0895221933296786,0.00480604657731696
2006-09,120,0.0,2.100330788201439,0.0902689659429284,0.005760644400177141
2006-10,120,0.0,3.180893017815234,0.08773036340225576,0.005364061117915295
2006-11,120,0.0,2.4309162969213,0.08799095013555987,0.005326845889645277
2006-12,120,0.0,3.0612554343865663,0.08744932696571722,0.005562058134284462
2007-02,120,0.0,1.9675906292070242,0.08959846689657486,0.004547742160560095
2007-03,114,0.0,1.3507389882235554,0.08037791682766281,0.006250358289330231
2007-04,115,0.0,1.903679625711437,0.08039448822660442,0.005060236688021143
2007-05,116,0.0,1.1306317622365294,0.07220815736705986,0.004771903435466703
2007-06,117,0.0,1.2929276228305802,0.049895974710683716,0.00561274138434488
2007-07,118,0.0,3.1319814802501718,0.04976353881322697,0.00482642947757017
2007-08,119,0.0,2.032618850420346,0.048794181581622235,0.005278287827062994
2007-09,120,0.0,1.279370959542838,0.05133020598162144,0.005521428527645913
2007-10,120,0.0,1.5728871816231713,0.05357203963816256,0.005687289363650121
2007-11,120,0.0,0.8278019151488789,0.06678150422931409,0.005298085856995432
2007-12,120,0.0,0.9441252083618531,0.08130701747301798,0.005462999507528719
2008-01,120,0.0,1.0461266552551922,0.09066995514880812,0.004976051717888567
2008-02,120,0.0,0.7503045270373967,0.08379240142656294,0.005556368361477885
2008-03,120,0.0,0.7173006170870742,0.05492740889260121,0.004878207970894057
2008-04,114,0.0,0.7529472012708559,0.07360239120536481,0.006470561135249749
2008-05,115,0.0,0.8447592665311792,0.07151271306010265,0.006899952930308599
2008-06,116,0.0,1.3298197639101643,0.06836091817592127,0.006484519779713537
2008-07,117,0.0,1.0978167113120691,0.07572844815476767,0.006673608251534457
2008-08,118,0.0,1.1667875655301376,0.0749345431128312,0.006070114395870042
2008-09,119,0.0,1.1032513594451254,0.07523260222470232,0.006644998048719596
2008-10,120,0.0,1.2346324702829317,0.07640652887026464,0.006034776998466598
2008-11,120,0.0,1.7141925000826237,0.07711805376904254,0.005153115905364628
2008-12,114,0.0,4.467972633702059,0.1038226306387958,0.005543131599280425
2009-02,114,0.0,2.3873119473046827,0.08238992382353123,0.005627820635501483
2009-03,114,0.0,2.5242588617193693,0.08448475006463682,0.006244895508741007
2009-04,115,0.0,2.1932610303844506,0.09476073999403069,0.0067511117944120385
2009-05,114,0.0,0.869658881230293,0.09128271059430375,0.006883522353777643
2009-06,114,0.0,1.3297340217455673,0.0901023390886512,0.0068899213589265805
2009-07,115,0.0,2.441709522770925,0.0834532487386725,0.006948682065156274
2009-08,116,0.0,2.3529319653828273,0.08847961507868576,0.0055282599673901036
2009-09,117,0.0,1.2322117243692923,0.09334236495691606,0.005529526235465508
2009-10,118,0.0,1.135276207123622,0.08966975254056526,0.0062975395614703385
2009-11,114,0.0,1.0055308040074256,0.09489466441750337,0.007615221132800694
2009-12,115,0.0,2.5892497394455516,0.09815768752188704,0.007123640244656825
2010-01,116,0.0,2.4011579199030364,0.09960420127066957,0.007225296537481984
2010-02,117,0.0,2.232084433154006,0.10037029605298298,0.00790817134305185
2010-03,118,0.0,2.6151297097474524,0.09858663771671618,0.006974818904809036
